Luật 1: Thay thế từ đồng nghĩa,,
What can we do to reduce pollution?,What pollution can we do to reduce?,"We can reduce pollution by recycling, using public transport, and conserving energy"
Do you think climate change is a serious problem?,Do problem you think climate change is a serious?,"Yes, climate change leads to extreme weather events and threatens biodiversity"
How does climate change impact sea levels?,How levels does climate change impact sea?,"It causes polar ice to melt and seawater to expand, leading to rising sea levels."
Do you think climate change is a major issue?,Do issue you think climate change is a major?,"Yes, I believe it is a critical problem that needs urgent action."
Has climate change affected your daily life?,Has life climate change affected your daily?,"Not much, but I have noticed hotter summers."
Are you worried about pollution in your city?,Are city you worried about pollution in your?,"Yes, I see more smog and trash on the streets"
Do you trust the quality of tap water in your area?,Do area you trust the quality of tap water in your?,"Not really, I prefer bottled water."
Do you believe individuals can make a difference in protecting the environment?,Do environment you believe individuals can make a difference in protecting the?,"Yes, small actions like recycling and reducing waste contribute to bigger changes when many people participate."
How often do you think about your environmental impact?,How impact often do you think about your environmental?,"I consider it daily, especially when making choices like using reusable items or conserving energy at home."
Have you noticed changes in your local environment over the past decade?,Have decade you noticed changes in your local environment over the past?,"Yes, summers are hotter, and there’s more plastic waste in rivers compared to 10 years ago"
Do you separate recyclables from regular trash at home?,Do home you separate recyclables from regular trash at?,"Yes, I sort paper, plastic, and glass into separate bins to ensure they’re properly recycled"
How do you reduce plastic use in daily life?,How life do you reduce plastic use in daily?,"I carry a reusable water bottle, avoid plastic straws, and choose products with minimal packagin"
What’s your opinion on single-use plastics?,What’s plastics your opinion on single-use?,They should be banned because they pollute oceans and harm marine life unnecessarily
Have you participated in a community clean-up event?,Have event you participated in a community clean-up?,"Yes, I joined a beach clean-up last month and collected over 5 kg of trash"
Have you made any energy-saving changes at home?,Have home you made any energy-saving changes at?,"I switched to LED bulbs and unplug devices when not in use to cut electricity waste."""
Would you consider buying an electric vehicle?,Would vehicle you consider buying an electric?,"Yes, if charging stations become more accessible and prices are affordable"
Have you ever donated to wildlife conservation?,Have conservation you ever donated to wildlife?,"I donated to a rainforest protection fund last year to help save orangutans."""
 Do you avoid products linked to deforestation?,Do deforestation you avoid products linked to?,I check labels for sustainable palm oil and avoid brands harming rainforests.
Is your country doing enough to address environmental issues?,Is issues your country doing enough to address environmental?,"No, policies are weak, and enforcement is inconsistent compared to global standards."""
Do you talk to friends/family about environmental issues?,Do issues you talk to friends/family about environmental?,"Yes, I share tips on recycling and energy savings to inspire others."
Do you check air quality before going outside?,Do outside you check air quality before going?,Only on hazy days—my phone app gives me alerts when it’s really bad
How serious is plastic pollution in your local area?,How area serious is plastic pollution in your local?,It's getting worse every year. I can spot plastic bags stuck in trees after every heavy wind
How would you describe the air quality in your city?,How city would you describe the air quality in your?,Some mornings it's so hazy I can't even see the buildings across the street - like living in a bowl of soup!
How does water pollution affect marine life?,How life does water pollution affect marine?,"It leads to habitat destruction, toxic contamination, and loss of biodiversity."
Do you believe climate change is a serious issue?,Do issue you believe climate change is a serious?,"Yes, I think it’s one of the biggest threats to our future."
Would you be willing to pay more for eco-friendly products?,Would products you be willing to pay more for eco-friendly?,"Yes, but only if the price difference is not too big."
Would you support higher taxes on polluting industries?,Would industries you support higher taxes on polluting?,"Yes, but only if the money is used for environmental protection."
What is the biggest cause of climate change?,What change is the biggest cause of climate?,"Yes, there is pollution where I live in Hanoi, Vietnam. Air pollution is the most serious environmental problem in Hanoi."
What kinds of pollution are serious in your country?,What country kinds of pollution are serious in your?,"Unfortunately, pollution is a significant issue in Vietnam. Some of the most serious types of pollution include air pollution, water pollution, and noise pollution."
Do you take an interest in nature? ,Do nature? you take an interest in?,"Yes, I do. I find nature to be a fascinating and complex system that is full of beauty and wonder."
Do you like growing plants? ,Do plants? you like growing?,"Yes, I do enjoy growing plants. I also appreciate the beauty that plants bring to my home and garden. "
Why is environmental education important?,Why important is environmental education?,It raises awareness and encourages people to take action to protect nature.
What are the main causes of air pollution in urban areas today?,What today are the main causes of air pollution in urban areas?,"Vehicle emissions, industrial activities, burning fossil fuels, construction dust, and waste incineration."
How does deforestation affect global climate patterns?,How patterns does deforestation affect global climate?,"Releases carbon dioxide, reduces CO2 absorption, and disrupts rainfall patterns, worsening global warming."
Why is plastic pollution such a significant problem for marine life?,Why life is plastic pollution such a significant problem for marine?,"Marine animals ingest or get entangled in it, causing injury, starvation, death, and food chain disruption."
What role does industrial waste play in water pollution?,What pollution role does industrial waste play in water?,"Contaminates water with chemicals, heavy metals, and untreated sewage, harming ecosystems and health."
How are rising global temperatures impacting polar ice caps?,How caps are rising global temperatures impacting polar ice?,"Melts ice caps, reduces reflectivity, accelerates warming, and raises sea levels."
What are the effects of overfishing on ocean ecosystems?,What ecosystems are the effects of overfishing on ocean?,"Depletes fish populations, disrupts food webs, and damages habitats like coral reefs."
How does urbanization contribute to habitat loss for wildlife?,How wildlife does urbanization contribute to habitat loss for?,"Clears forests, wetlands, and grasslands for infrastructure, reducing wildlife living space."
Why are greenhouse gas emissions still increasing despite awareness?,Why awareness are greenhouse gas emissions still increasing despite?,"Economic growth, fossil fuel reliance, weak policies, and population growth outpace reduction efforts."
What steps are governments taking to reduce carbon footprints?,What footprints steps are governments taking to reduce carbon?,"Promoting renewables, enforcing emissions rules, subsidizing green tech, and joining global agreements."
How does soil degradation affect agricultural productivity?,How productivity does soil degradation affect agricultural?,"Reduces fertility, limits crop yields, and increases reliance on chemical fertilizers."
What are the consequences of melting glaciers for sea levels?,What levels are the consequences of melting glaciers for sea?,"Raises sea levels, floods coastal areas, and displaces communities and ecosystems."
How is climate change influencing extreme weather events?,How events is climate change influencing extreme weather?,"Increases frequency and intensity of storms, heatwaves, droughts, and floods."
Why is biodiversity loss considered a global crisis?,Why crisis is biodiversity loss considered a global?,"Threatens ecosystem stability, food security, and resilience to environmental changes."
What are the primary sources of renewable energy being used today?,What today are the primary sources of renewable energy being used?,"Solar, wind, hydropower, geothermal, and biomass energy."
How does single-use plastic impact the environment long-term?,How long-term does single-use plastic impact the environment?,"Persists in ecosystems, pollutes water and soil, and harms wildlife for decades."
What measures can individuals take to reduce their environmental impact?,What impact measures can individuals take to reduce their environmental?,"Reduce waste, use renewables, conserve water, and adopt sustainable habits."
How are coral reefs being affected by ocean warming?,How warming are coral reefs being affected by ocean?,"Causes bleaching, weakens structures, and reduces biodiversity in reef ecosystems."
Why is electronic waste becoming a growing environmental issue?,Why issue is electronic waste becoming a growing environmental?,"Contains toxic materials, pollutes soil and water, and overwhelms waste systems."
What role do corporations play in environmental degradation?,What degradation role do corporations play in environmental?,"Drive resource extraction, emissions, and waste through production and supply chains."
How effective are current recycling programs worldwide?,How worldwide effective are current recycling programs?,Vary widely; effective in some regions but limited by contamination and low participation elsewhere.
What are the environmental impacts of large-scale mining?,What mining are the environmental impacts of large-scale?,"Destroys habitats, pollutes water, and releases greenhouse gases."
How does air quality affect human health in polluted cities?,How cities does air quality affect human health in polluted?,"Increases respiratory issues, heart disease, and premature deaths in polluted areas."
Why are wetlands disappearing at an alarming rate?,Why rate are wetlands disappearing at an alarming?,"Drained for agriculture, urban development, and climate-driven drying."
What is the relationship between deforestation and carbon dioxide levels?,What levels is the relationship between deforestation and carbon dioxide?,"Removes trees that absorb CO2, increasing atmospheric levels and warming."
How are endangered species being protected from extinction?,How extinction are endangered species being protected from?,"Through protected areas, breeding programs, and laws against poaching and trade."
What challenges do renewable energy projects face today?,What today challenges do renewable energy projects face?,"High costs, infrastructure needs, and inconsistent energy output."
How does overpopulation strain natural resources?,How resources does overpopulation strain natural?,"Increases demand for food, water, and energy, depleting resources faster."
Why is clean water becoming scarce in some regions?,Why regions is clean water becoming scarce in some?,"Overuse, pollution, and climate change reduce freshwater availability."
What are the environmental effects of oil spills in the ocean?,What ocean are the environmental effects of oil spills in the?,"Kills marine life, damages habitats, and disrupts ecosystems for years."
How do pesticides harm ecosystems beyond their intended targets?,How targets do pesticides harm ecosystems beyond their intended?,"Harm pollinators, wildlife, and soil health, causing broader ecological damage."
What is being done to combat desertification globally?,What globally is being done to combat desertification?,"Reforestation, sustainable farming, and international aid programs."
How does fast fashion contribute to environmental damage?,How damage does fast fashion contribute to environmental?,"Creates waste, uses toxic dyes, and consumes vast water and energy."
Why are wildfires becoming more frequent and intense?,Why intense are wildfires becoming more frequent and?,"Driven by higher temperatures, droughts, and human land mismanagement."
What impact does transportation have on global emissions?,What emissions impact does transportation have on global?,"Contributes heavily via cars, planes, and shipping emissions."
How are coastal areas preparing for rising sea levels?,How levels are coastal areas preparing for rising sea?,"Building seawalls, relocating communities, and restoring natural barriers like mangroves."
What are the benefits of reforestation efforts?,What efforts are the benefits of reforestation?,"Restores habitats, sequesters carbon, and improves soil and water retention."
How does noise pollution affect wildlife behavior?,How behavior does noise pollution affect wildlife?,"Disrupts mating, hunting, and migration patterns in animals."
Why is sustainable agriculture gaining attention today?,Why today is sustainable agriculture gaining attention?,"Reduces chemical use, preserves soil, and meets growing food demand sustainably."
What are the long-term effects of nuclear waste on the environment?,What environment are the long-term effects of nuclear waste on the?,"Contaminates soil and water, posing risks for centuries if mismanaged."
How do microplastics enter the human food chain?,How chain do microplastics enter the human food?,"Through seafood, water, and soil, accumulating in human tissues."
What role does education play in environmental conservation?,What conservation role does education play in environmental?,"Raises awareness, changes behavior, and fosters sustainable practices."
How are developing countries addressing environmental challenges?,How challenges are developing countries addressing environmental?,"Adopting renewables, seeking aid, and balancing growth with conservation."
Why is the loss of pollinators a threat to food security?,Why security is the loss of pollinators a threat to food?,"Reduces crop pollination, threatening food production and ecosystems."
What are the environmental costs of cryptocurrency mining?,What mining are the environmental costs of cryptocurrency?,High energy use for computing drives emissions and resource depletion.
How does illegal logging impact tropical rainforests?,How rainforests does illegal logging impact tropical?,"Destroys habitats, increases CO2, and threatens indigenous communities."
What innovations are helping to clean up polluted rivers?,What rivers innovations are helping to clean up polluted?,"Bioremediation, filtration systems, and trash-collecting drones."
How are animals adapting to changing climates?,How climates are animals adapting to changing?,"Shifting habitats, altering behaviors, or facing extinction risks."
Why is ocean acidification a growing concern for marine life?,Why life is ocean acidification a growing concern for marine?,"Weakens shells, disrupts food chains, and harms marine biodiversity."
What are the environmental impacts of tourism in sensitive areas?,What areas are the environmental impacts of tourism in sensitive?,"Strains resources, damages ecosystems, and increases waste in fragile areas."
How can technology help solve current environmental problems?,How problems can technology help solve current environmental?,"Offers solutions like clean energy, pollution monitoring, and waste management tools."
